Discount, Price After Discount
0.07500000000000001,1464.9040000000002
0.05,3277.5
0.145,135.6201
0.025,28.08
0.025,705.0809999999999
0.12000000000000001,91.06240000000001
0.0,304.35
0.05,478.42
0.07500000000000001,1967.6692500000001
0.05,569.259
0.05,1224.512
0.08499999999999999,1793.9124
0.055,403.59059999999994
0.035,2591.2566
0.0,239.67
0.07500000000000001,850.593
0.07500000000000001,2284.37075
0.0,89.16
0.18,1512.162
0.025,336.6675
0.05,1352.211
0.060000000000000005,773.4132000000001
0.07500000000000001,225.10800000000003
0.025,532.818
0.1,580.6080000000001
0.145,14.59485
0.195,2992.5391999999997
0.025,406.63349999999997
0.035,1459.7748
0.060000000000000005,74.7864
0.0,628.05
0.09,1563.835
0.12,586.7664
0.1,102.60000000000001
0.035,1694.0189
0.060000000000000005,2331.4631999999997
0.030000000000000002,1403.6094
0.16999999999999998,3060.0855
0.060000000000000005,849.7411999999998
0.060000000000000005,1063.1399999999999
0.05,437.24699999999996
0.07500000000000001,1509.7387500000002
0.060000000000000005,2894.5419999999995
0.0,382.32
0.07500000000000001,2403.52
0.10500000000000001,3450.8336
0.07500000000000001,3400.62375
0.025,135.38850000000002
0.07500000000000001,2618.3697500000003
0.08,271.3632
0.05,3332.3624999999997
0.0,662.55
0.035,2353.5771
0.05,1261.8374999999999
0.025,9.282000000000002
0.05,1036.431
0.15000000000000002,1916.7925
0.05,1235.3039999999999
0.05,262.7985
0.025,380.29875
0.05,168.53
0.16,2355.1919999999996
0.025,406.77
0.07500000000000001,2255.52
0.060000000000000005,1065.6404
0.060000000000000005,452.751
0.060000000000000005,467.89439999999996
0.07500000000000001,1107.82625
0.17,2407.6805999999997
0.025,879.26475
0.05,564.1859999999999
0.15,227.2475
0.14,177.2288
0.05,1126.5765
0.1,1535.625
0.025,55.594500000000004
0.17,880.5636000000001
0.05,293.265
0.035,3171.7427000000002
0.035,1766.2974000000002
0.0,428.48
0.0,15.059999999999999
0.05,1049.636
0.05,2295.162
0.07500000000000001,3563.1000000000004
0.025,1360.827
0.14500000000000002,1121.8968
0.035,3200.7891999999997
0.07500000000000001,961.556
0.0,286.96
0.07500000000000001,3182.8880000000004
0.135,1678.1345999999999
0.05,1658.6999999999998
0.16,1843.7328
0.17500000000000002,1409.1577499999996
0.05,3081.4959999999996
0.05,206.511
0.3,550.8159999999999
0.025,299.832
0.07500000000000001,936.692
0.060000000000000005,62.24679999999999
0.07500000000000001,2979.65625
0.035,2109.6251
0.025,1850.472
0.08,1012.3680000000002
0.060000000000000005,1393.9072
0.035,2519.8079999999995
0.025,1705.7039999999997
0.07500000000000001,417.19350000000003
0.005,213.72599999999997
0.18,1407.366
0.07500000000000001,2704.996
0.060000000000000005,828.328
0.060000000000000005,1043.024
0.060000000000000005,550.3512
0.025,1594.7295
0.28500000000000003,1621.7200999999998
0.155,501.70185
0.025,37.791
0.0,111.91
0.060000000000000005,1368.4989999999998
0.025,663.3022500000001
0.07500000000000001,1162.17
0.025,314.6715
0.060000000000000005,56.17439999999999
0.035,327.0192
0.025,876.33
0.05,850.136
0.05,2761.65
0.035,1325.3889
0.025,250.55550000000002
0.10500000000000001,649.5552
0.0,45.88
0.05,1603.7234999999998
0.0,286.65
0.035,227.98125
0.05,1235.0759999999998
0.065,1023.1144
0.060000000000000005,737.1103999999999
0.14,2332.2168
0.12000000000000001,1700.16
0.0,154.14000000000001
0.07500000000000001,92.241
0.10500000000000001,1204.4910000000002
0.0,70.2
0.05,337.896
0.11,492.32129999999995
0.09,2499.4788
0.07500000000000001,697.08
0.05,161.59500000000003
0.05,988.152
0.035,2316.5114499999995
0.05,101.51699999999998
0.05,2235.4829999999997
0.025,562.302
0.035,2743.5335999999998
0.0,649.6800000000001
0.035,2246.1726
0.05,1077.243
0.05,1156.9859999999999
0.3,175.392
0.05,1651.7839999999999
0.05,633.5550000000001
0.060000000000000005,792.8711999999999
0.155,553.31445
0.060000000000000005,1942.9799999999998
0.035,2655.9309000000003
0.11,2080.7666
0.035,1742.79
0.025,524.823
0.05,188.04299999999998
0.060000000000000005,1200.6808
0.025,461.48699999999997
0.07500000000000001,2522.4472499999997
0.05,164.084
0.0,82.75
0.05,1762.06
0.05,431.661
0.05,2105.0955
0.3,850.136
0.035,1827.93195
0.060000000000000005,1107.0098
0.05,1053.36
0.07500000000000001,2513.17875
0.025,782.847
0.09,839.0563999999999
0.07500000000000001,1562.7412499999998
0.060000000000000005,2094.8651999999997
0.05,16.948
0.060000000000000005,812.818
0.195,315.9464
0.025,792.324
0.060000000000000005,1812.4985999999997
0.025,75.6015
0.11,361.963
0.12,85.2984
0.060000000000000005,1154.7336
0.060000000000000005,2999.8877999999995
0.11499999999999999,1131.3309000000002
0.05,466.96299999999997
0.035,849.2965
0.135,1180.9326
0.11,99.03920000000001
0.09,1261.0598
0.085,1956.6360000000002
0.165,1100.3963999999999
0.0,237.89
0.035,2143.6896
0.05,1647.072
0.05,1341.9319999999998
0.05,2299.9404999999997
0.15,382.092
0.025,461.448
0.060000000000000005,112.25479999999999
0.125,2134.4137499999997
0.05,2513.13
0.025,534.924
0.060000000000000005,603.4424
0.145,349.11359999999996
0.0,4.5
0.12000000000000001,1489.4879999999998
0.16,1569.75
0.05,3938.5004999999996
0.05,90.00299999999999
0.035,1052.2746
0.05,880.0799999999999
0.085,1237.8303
0.07500000000000001,143.4675
0.05,1350.8999999999999
0.275,136.82925
0.025,213.71999999999997
0.12,314.468
0.15000000000000002,1187.824
0.05,232.57899999999998
0.025,1033.1002500000002
0.025,130.99124999999998
0.065,1068.4806
0.025,687.0825
0.07500000000000001,2002.292
0.09,2058.784
0.025,1818.336
0.07500000000000001,114.108
0.07,2499.4494
0.060000000000000005,252.50279999999998
0.035,689.09685
0.05,1667.972
0.06,798.295
0.0,286.32
0.05,59.318
0.025,285.09
0.10500000000000001,500.61825000000005
0.035,560.1246
0.0,191.02
0.025,252.837
0.060000000000000005,875.3186
0.275,59.479
0.095,843.0256
0.025,321.3795
0.08,1745.6448
0.060000000000000005,975.5319999999999
0.05,2722.928
0.0,881.85
0.10500000000000001,145.90290000000002
0.07500000000000001,532.5225
0.05,1819.9434999999999
0.10500000000000001,1566.6975
0.060000000000000005,1255.8963999999999
0.030000000000000002,545.8578
0.065,2325.6442
0.035,848.9105000000001
0.08,3107.4288
0.05,602.9175
0.05,235.353
0.025,84.318
0.07,594.3537
0.05,244.986
0.105,835.8226
0.1,2118.897
0.10500000000000001,483.15680000000003
0.05,2688.8134999999997
0.05,1171.9199999999998
0.05,3858.7194999999997
0.12000000000000001,2804.7711999999997
0.11000000000000001,1597.1138999999998
0.060000000000000005,2009.2124
0.035,838.971
0.0,471.4
0.155,1427.3064
0.060000000000000005,506.7634
0.045,181.87019999999998
0.035,438.8434
0.025,396.98099999999994
0.0,940.52
0.07500000000000001,2475.4387500000003
0.07500000000000001,2788.9860000000003
0.05,1368.4275
0.0,137.16
0.025,456.8265
0.060000000000000005,2145.8601999999996
0.05,1608.616
0.115,2851.9302
0.05,1109.106
0.05,1382.763
0.07500000000000001,2162.1875
0.07500000000000001,1556.0720000000001
0.05,429.989
0.025,268.01775000000004
0.025,122.06025
0.07500000000000001,2943.7200000000003
0.060000000000000005,3007.7086
0.135,98.09100000000001
0.060000000000000005,1324.836
0.035,2128.1145
